Month,TIME_24_HOURS,MV_INVOLVED,BASE_SUB_BASE,COUNTY,ROAD,BRIEF_ACCIDENT_DETAILS,GENDER,AGE,CAUSE_CODE,VICTIM_TYPE,Date,Hour
6,2030,KCWA 021V TUKTUK & KMDY 006T BAJAJ,MASENO,KISUMU,KISUMU BONDO,HEAD ON COLLISSION,M,23,8.0,M/CYCLIST,2017-06-18,20.0
10,1330,KMDV 105Y &KMCS 564L,MALABA,BUSIA,AKUBWOIT KWANGAMOR ROAD,HEAD ON COLLISSION,M,31,7.0,M/CYCLIST,2017-10-22,13.0
6,2040,KMDT 883Q BOXER & KMDC 952R HAOJIN,VOI,TAITA TAVETA,VOI KALOLENI,HEAD ON COLLISSION,M,63,22.0,M/CYCLIST,2017-06-11,20.0
9,1430,KBL 427D MITSUBISHI CANTER & KMDX 319H HILO,KILIMANI,NAIROBI,BISHOP ROAD JUNCTION,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,M/CYCLIST,2017-09-21,14.0
10,2000,KCC 241G CHEVROLET & KMDU 605S BOXER,MAKUENI,MAKUENI,WOTE MAKUENI,HEAD ON COLLISSION,M,A,98.0,M/CYCLIST,2017-10-12,20.0
7,1030,KCE 880H NISSAN DUALIS & KMCC 745D SKYO,NAIVASHA,NAKURU,NAIROBI NAKURU,VEHICLE KNOCKED DOWN A VICTIM,M,40,10.0,M/CYCLIST,2017-07-14,10.0
9,1630,KCJ 347G TOYOTA NOAH & KMEC 376Y BOXER,LONDIANI,KERICHO,LONDIANI-KERICHO,HEAD ON COLLISSION,M,A,26.0,M/CYCLIST,2017-09-18,16.0
9,0600,KMDN 833C SKYGO,MAKINDU,MAKUENI,MAKINDU-KOSEWE,THE MOTOR CYCLE LOST CONTROL AND HIT A TREE,M,A,7.0,M/CYCLIST,2017-09-18,6.0
10,0600,KMCE 555X MAKE TVS,NYAMIRA,NYAMIRA,NYAMIRA NYAMAIYA,THE CYCLE RAMMED INTO THE LORRY,M,A,26.0,M/CYCLIST,2017-10-10,6.0
5,1730,KTWA 595R PIAGGIO TUKTUK AND KMDK 334X BOXER,ISINYA,KAJIADO,NAMANGA- KITENGELA,TUKTUK WAS HIT BY THE M/CYCLE WHICH WAS OVERLAPPING WHERE THE M/CYCLIST DIED WHILE UNDERGOING TREATMENT.,M,A,45.0,M/CYCLIST,2017-05-14,17.0
5,2100,KCA 520N TOYOTA MATATU AND KMDH 882N TVS STAR,KABRAS,KAKAMEGA,WEBUYE- KAKAMEGA,MATATU WAS HIT AT THE RIGHT SIDE BY THE SAID M/CYCLE WHERE THE DRIVER SUSTAINED SERIOUS INJURIES AND DIED ON ARRIVAL TO HOSPITAL.,M,A,26.0,M/CYCLIST,2017-05-14,21.0
5,1900,KMDH 771H DAYUN,MATUU,MACHAKOS,KIVANINI- MASINGA,"M/CYCLIST HIT A HIP OF SOIL, LOST CONTROL VEERING OFF THE ROAD AND LANDED INTO A DITCH WHERE HE DIED ON THE SPOT.",M,29,26.0,M/CYCLIST,2017-05-14,19.0
7,2000,KMDA 617Y BOXER & UNKNOWN VEHICLE,MARIGAT,BARINGO,MARIGAT KABARNET,HIT & RUN,M,A,98.0,M/CYCLIST,2017-07-07,20.0
8,1240,KMCK 374E BAJAJ,DTEO CENTRAL,NAIROBI,NEW PUMWANI ROAD,THE M/CYCLE LOST CONTROL AND ROLLED,M,A,26.0,M/CYCLIST,2017-08-21,12.0
7,2030,KMCN 050S SKYGO & P/CYCLIST,MAKINDU,MAKUENI,MOMBASA NAIROBI,THE CYCLE RAMMED INTO THE P/CYCLIST,M,43,36.0,M/CYCLIST,2017-07-22,20.0
7,1130,KCA 884N/ZE 8132 ACTROS TRAILER & KMCH 608Y TVS STAR,KAKAMEGA,KAKAMEGA,KAKAMEGA KISUMU,VEHICLE KNOCKED DOWN A VICTIM,M,40,22.0,M/CYCLIST,2017-07-15,11.0
9,1900,KMCY 178R RANGER & KBH 666R TOYOTA HIACE,MURANGA,MURANGA,MURANGA-KIRIANI,THE MOTOR CYCLE RAMMED INTO THE MOTOR VEHICLE,M,A,26.0,M/CYCLIST,2017-09-19,19.0
7,2230,KMDU 117D BOXER,BONDO,HOMA BAY,BONDO AGIGO,THE CYCLE LOST CONTROL AND VEERED OFF THE ROAD AND LANDED INTO A DITCH,M,33,29.0,M/CYCLIST,2017-07-22,22.0
