Month,TIME_24_HOURS,MV_INVOLVED,BASE_SUB_BASE,COUNTY,ROAD,BRIEF_ACCIDENT_DETAILS,GENDER,AGE,CAUSE_CODE,VICTIM_TYPE,Date,Hour
7,0100,"KCL 440M ACROS,KAW 743K",MTITO ANDEI,MAKUENI,NAIROBI MOMBASA,THE VEHICLE COLLIDED WITH THE OTHER VEHICLE,M,A,26.0,DRIVER,2017-07-13,1.0
10,2000,GKB 529F T/L CRUISER,MACHAKOS,MACHAKOS,KATHEKAI,THE VEHICLE LOST CONTROL AND OVERTURNED,M,A,,DRIVER,2017-10-22,20.0
3,1725,KBE 084B TOYOTA COROLLA & KBY 281S NISSAN MATATU,NYERI,NYERI,NYAHURURU NYERI,HEAD ON COLLISSION,M,31,98.0,DRIVER,2017-03-27,17.0
7,2000,KCK 401A T/SIENTA & KCD 723Y MITSUBISH CANTER,ATHI RIVER,MACHAKOS,NAIROBI-MOMBASA,THE VEHICLES COLLIDED HEAD ON,M,25,8.0,DRIVER,2017-07-12,20.0
7,2100,KCK 444Y R/ROVER & RAC 704L SCANIA BUS &KBZ 717/ZF 5442 SCANIA S/TRAILER KBA 970Z/ZD 1091 M/BENZ ACTROSS KAW 849L T/DX,SALGAA,NAKURU,NAKURU-ELDORET,M/V HIT OTHER VIHICLES THROWING THEM OFF THE ROAD,M,A,63.0,DRIVER,2017-07-30,21.0
7,2145,KAZ 727R T/PREMIO SELF INVOLVED,KERICHO,KERICHO,SOTIK-KERICHO,M/V AVOIDED HITTING A M/CYCLIST HENCE LANDING ON A DITCH,M,33,10.0,DRIVER,2017-07-30,21.0
6,0500,KCF 934C TOYOTA HESTIMA,CENTRAL,NAIROBI,MURANGA ROAD,THE VEHICLE HIT A PAVEMENT,M,A,98.0,DRIVER,2017-06-23,5.0
9,0400,"KCE 345D TOYOTA PRADO,KCL 082W SCANIA BUS",LARI,KIAMBU,NAIROBI NAIVASHA,HEAD ON COLLISSION,M,47,37.0,DRIVER,2017-09-03,4.0
7,2100,"T934CMS TOYOTA SPACIO, KCF 188R MITSUBISHI CANTER & KCJ 968H TOWNACE",KAJIADO,KAJIADO,NAMANGA-NAIROBI,THE VEHICLE HIT THE CANTER,M,A,10.0,DRIVER,2017-07-21,21.0
10,0430,KCA 961A T/WISH & KBV 147M/ZE 4153 TRAILER M/BENZ,EMBAKASI,NAIROBI,MOMBASA ROAD,THE T/WISH RAMMED INTO THE TRAILLER WHICH WAS PARKED OFF THE ROAD,M,A,76.0,DRIVER,2017-10-30,4.0
5,1330,KCH 430J MITSUBISHI CANTER & KTWB 598E PIAGGIO,NYERI,NYERI,CHAKA-KIGANJO,HEAD ON COLLISSION,M,A,8.0,DRIVER,2017-05-04,13.0
7,1730,KAP 630Y TOYOTA COROLLA,NYERI,NYERI,MUGANI MURIGURU,THE VEHICLE LOST CONTROL AND THE VICTIM DIED ON THE SPOT,M,34,26.0,DRIVER,2017-07-09,17.0
7,0730,KBZ 281B MITSUBISHI FH & KBQ 917K/ZC 6082 FAW TRAILER,MTITO ANDEI,MAKUENI,NAIROBI-MOMBASA,HEAD ON COLLISSION,M,33,10.0,DRIVER,2017-07-25,7.0
8,2010,GKA 314Z TOYOTA PRADO,TAVETA,TAITA TAVETA,TAVETA-MWATATE,THE VEHICLE LOST CONTROL AND VEERED OF THE ROAD,M,A,79.0,DRIVER,2017-08-01,20.0
9,0700,"KCJ 765Q NISSAN BLUE BIRD,KCM 875G TOYOTA MARK II",INDO AREA,NAIROBI,MOMBASA,THE TOYOTA MARK II HIT THE NISSAN BLUE,M,A,37.0,DRIVER,2017-09-03,7.0
3,0330,KBU 743D/ZE 1567 M/BENZ TRAILER & KCC 683W ISUZU LORRY,MACHAKOS,MACHAKOS,MOMBASA NAIROBI,HEAD ON COLLISSION,M,A,98.0,DRIVER,2017-03-17,3.0
4,1430,UAT 203T TOYOTA PRAYER,KERICHO,KERICHO,KERICHO-KISUMU,"THE VEHICLE LOST CONTROL, VEERING OFF THE ROAD AND HIT A FACTORY WALL",M,A,26.0,DRIVER,2017-04-25,14.0
6,1630,KBK 349Z FORD RANGER P/UP,RUNYEJES,EMBU,KYENI KARURUMO MARRUM ROAD,THE VEHICLE GOT A TYRE BURST AND ROLLED,M,51,78.0,DRIVER,2017-06-11,16.0
9,1900,KBU 292P BEDFORD LORRY& KBP 307K MITSUBISH CANTER,NAKURU,NAKURU,NAKURU NAIROBI,HEAD ON COLLISSION,M,A,10.0,DRIVER,2017-09-06,19.0
3,2120,KCA 685V T/PASSO @KCG 706E/ZF 3418 M M/BENZ,MAKINDU,MAKUENI,MSA-NRB,THE MOTOR VEHICLE HIT THE REAR WHEEL OF THE TRAILER LOST CONTROL AND COLLIDED WITH ANOTHER VEHICLE,M,A,8.0,DRIVER,2017-03-18,21.0
9,0345,KCK 440R/ZD 0728 AXOR TRAILER & KBX 430E SCANIA BUS,GILGIL,NAKURU,GILGIL NAKURU,HEAD ON COLLISSION,M,A,11.0,DRIVER,2017-09-21,3.0
8,0715,UAN 174S SCANIA TRAILER & KCG 863Z FH TANKER,LONDIANI,KERICHO,KERICHO NAKURU ROAD,THE VEHICLE RAMMED ON THE REAR OF THE TANKER LORRY,M,A,7.0,DRIVER,2017-08-18,7.0
7,0230,KMDX 465W SKYGO M/CYCLE,KITIRIRI,EMBU,KAMURUGU IRIAMURAI,THE CYCLE LOST CONTROL AND LANDED INTO THE DITCH,M,40,,DRIVER,2017-07-24,2.0
6,2015,KCE 051E T/PROBOX & MITSUBISHI PETROL TANKER,BURETI,KERICHO,BURET NGOINA,THE PROBOX WAS OVERTAKING UNKNOWN M/V HENCE COLLIDED HEAD ON WITH THE PETROL TANKER,M,A,10.0,7 PASSENGERS 1 DRIVER,2017-06-16,20.0
7,1520,"KBN 617C T/PROBOX ,KCD 290D T/MATATU & KMDB 316A TVS",KISII,KISII,KISII-KILGORIS,THE PROBOX BREAKS FAILED LOST CONTROL HITTING THE MATATU AND THE MATATU COLLIDED WITH THE M/CYCLE,M,A,78.0,2 PASSENGERS & P/PASSENGER,2017-07-27,15.0
3,2200,KBZ 966G/ZE 5142 M/BENZ TRAILER & KBH 8417 BENZ TRAILER & KBP 724N/ZD 8418 ACTROS TRAILER,ISINYA,KAJIADO,ISINYA-KAJIADO,THE TRAILERS SANDWITCHED THE VICTIMS,M,A,26.0,2 DRIVERS & PASSENGER,2017-03-07,22.0
7,1445,"KBQ 014P ISUZU CANTER, KAJ 785Z TOYOTA SALOON, KAU 558M TOYOTA COROLLA & KCJ 254S T/LCRUISER",NYERI,NYERI,NYAHURURU-MWEIGA,HEAD ON COLLISSION,M & F,A,66.0,2 DRIVER & 2 PASSENGER,2017-07-25,14.0
3,1530,KAX 407B T/SALOON & KMDQ 204N M/CYCLE,LAIKIPIA,LAIKIPIA,MATANYA ROAD,THE VEHICLE HIT THE M/CYCLE,M,A,,1 RIDER & 1P/PASSENGER,2017-03-19,15.0
3,0445,KAW 432E/ZC 5556 M/B/AXOR & KCE 189T HARRIER,VOI,TAITA-TAVETA,MSA-NRB,THE TRAILER COLLIDED HEAD ON WITH THE VEHICLE,M&F,A,8.0,1 DRIVER & 4 PASSENGERS,2017-03-19,4.0
3,1330,KCK 381B T/MATATU & KAZ 038R ISUZU BUS,RUNYENJES,EMBU,EMBU-MERU,THE MATATU COLLIDED HEAD ON WITH THE BUS,2M & F,A,10.0,1 DRIVER & 2 PASSENGERS,2017-03-21,13.0
