FID,DHSID,DHSCLUST,LAT,LONG,ITN_Covera
1056,KE201400001349,1349,-1.007501,36.204693,0.401566489
1057,KE201400001353,1353,-1.045031,36.052505,0.428032531
1058,KE201400001356,1356,-1.442908,35.577159,0.473309936
1059,KE201400001357,1357,-1.177176,35.754116,0.458442731
1060,KE201400001358,1358,-1.196154,35.241983,0.545320385
1061,KE201400001359,1359,-1.611423,35.398537,0.491184304
1062,KE201400001360,1360,-1.003934,35.642413,0.472549118
1063,KE201400001361,1361,-1.120233,35.724006,0.458392491
1064,KE201400001363,1363,-0.92285,35.435413,0.507216381
1065,KE201400001364,1364,-0.837669,35.63004,0.488629993
1066,KE201400001365,1365,-0.804706,35.570308,0.497360504
1067,KE201400001366,1366,-1.042414,34.92762,0.621099829
1068,KE201400001367,1367,-0.928413,34.902305,0.614108523
1069,KE201400001368,1368,-1.000601,34.876279,0.640952565
1070,KE201400001369,1369,-1.061921,34.749846,0.635972327
1071,KE201400001370,1370,-0.995874,35.148222,0.564182113
1072,KE201400001371,1371,-1.078303,35.085031,0.579500621
1073,KE201400001372,1372,-1.010393,34.972463,0.611150518
1074,KE201400001373,1373,-1.229738,34.810802,0.625706695
1075,KE201400001374,1374,-1.329582,34.826417,0.606000965
1076,KE201400001375,1375,-1.8505,36.750691,0.475567682
1077,KE201400001376,1376,-2.064607,36.94953,0.489340199
1078,KE201400001377,1377,-1.84592,36.782749,0.44111733
1079,KE201400001378,1378,-2.358009,37.036531,0.501783764
1080,KE201400001379,1379,-2.10955,37.461038,0.468987417
1081,KE201400001380,1380,-2.299266,36.810426,0.51671379
1082,KE201400001381,1381,-2.462057,36.82485,0.510021784
1083,KE201400001382,1382,-2.473565,36.700277,0.506610361
1084,KE201400001383,1383,-2.350552,37.221197,0.488058962
1085,KE201400001384,1384,-2.830255,37.540571,0.435929671
1086,KE201400001385,1385,-2.946827,37.546281,0.417018449
1087,KE201400001386,1386,-3.160807,37.733419,0.464036218
1088,KE201400001387,1387,-1.659861,36.550562,0.468303193
1089,KE201400001388,1388,-1.415356,36.180797,0.445559528
1090,KE201400001389,1389,-1.68735,36.848807,0.475062467
1091,KE201400001390,1390,-1.489443,36.959488,0.492858773
1092,KE201400001391,1391,-1.476782,36.965545,0.492858773
1093,KE201400001392,1392,-1.470559,36.960664,0.492858773
1094,KE201400001393,1393,-1.472465,36.954037,0.496600317
1095,KE201400001394,1394,-1.579725,36.953958,0.495364747
1096,KE201400001395,1395,-1.937878,36.097511,0.46335443
1097,KE201400001396,1396,-1.413816,36.685111,0.452031473
1098,KE201400001397,1397,-1.448822,36.699644,0.486605081
1099,KE201400001400,1400,-1.406223,36.751576,0.450200007
1100,KE201400001401,1401,-1.399571,36.751907,0.450200007
1101,KE201400001403,1403,-1.396583,36.708163,0.482831657
1102,KE201400001406,1406,-1.385874,36.759513,0.450200007
1103,KE201400001407,1407,-1.414127,36.773572,0.450200007
1104,KE201400001409,1409,-0.430999,35.049545,0.57291752
1105,KE201400001410,1410,-0.392989,35.014168,0.574644634
1106,KE201400001411,1411,-0.262973,35.068721,0.566279008
1107,KE201400001412,1412,-0.245964,35.227399,0.514493235
1108,KE201400001413,1413,-0.309298,35.319857,0.493134802
1109,KE201400001415,1415,-0.311582,35.257711,0.50568574
1110,KE201400001416,1416,-0.251504,35.260667,0.50675412
1111,KE201400001417,1417,-0.318156,35.312409,0.492331627
1112,KE201400001418,1418,-0.349574,35.319845,0.510404843
1113,KE201400001419,1419,-0.36287,35.285291,0.483772926
1114,KE201400001420,1420,-0.383661,35.298739,0.507704632
1115,KE201400001421,1421,-0.36909,35.154233,0.531574605
1116,KE201400001422,1422,-0.338838,35.223389,0.511927662
1117,KE201400001423,1423,-0.313347,35.228637,0.504979384
1118,KE201400001424,1424,-0.388691,35.146404,0.536691044
1119,KE201400001425,1425,-0.457094,35.18281,0.540163286
1120,KE201400001426,1426,-0.421155,35.262754,0.516236284
1121,KE201400001427,1427,-0.174651,35.310926,0.491370216
1122,KE201400001428,1428,-0.180383,35.417612,0.477090139
1123,KE201400001429,1429,-0.132023,35.538949,0.478808999
1124,KE201400001432,1432,-0.199389,35.461119,0.4751088
1125,KE201400001433,1433,-0.196551,35.403256,0.485295768
1126,KE201400001434,1434,-0.288745,35.428536,0.48013054
1127,KE201400001437,1437,-0.631907,35.196289,0.549131274
1128,KE201400001438,1438,-0.61275,35.13265,0.570548455
1129,KE201400001439,1439,-0.577405,35.065507,0.591728736
1130,KE201400001440,1440,-0.505406,35.125053,0.56114901
1131,KE201400001441,1441,-0.497134,35.202144,0.541758521
1132,KE201400001442,1442,-0.506052,35.276078,0.52863282
1133,KE201400001443,1443,-0.544988,35.240994,0.535984346
1134,KE201400001444,1444,-0.58225,35.257638,0.535463887
1135,KE201400001445,1445,-0.604581,35.371028,0.526858493
1136,KE201400001446,1446,-0.579929,35.27972,0.533371572
