,X,Y,grid_code,B8,B4,B3,B2,NDVI,MSAVI,EVI,LAI,RGR,RGI,OSAVI,AGB,year
0,153.1567535,-27.666235,0.1543716,2605,833,920,1009,0.5154159665107727,0.6801885734976167,0.44143291315828814,1.4791042798066862,0.905434787273407,0.04962920770049095,0.5153919538357726,27.56976041072447,2015
1,153.156662,-27.6663246,0.1621007,2515,948,1023,1115,0.45249783992767334,0.6230149369134779,0.3980996900563996,1.322324678624054,0.9266862273216248,0.038051750510931015,0.45247692858545374,24.414949771689496,2015
2,153.156662,-27.666235,0.1791483,2605,833,920,1009,0.5154159665107727,0.6801885734976167,0.44143291315828814,1.4791042798066862,0.905434787273407,0.04962920770049095,0.5153919538357726,27.56976041072447,2015
3,153.1567535,-27.6661453,0.1824783,2629,1122,1098,1140,0.401759535074234,0.5731752291012526,0.3484876514660994,1.1428283230043474,1.0218579769134521,-0.010810811072587967,0.4017423943526803,11.100097297297296,2015
4,153.1565552,-27.6663246,0.1849427,2682,875,1018,1077,0.5080123543739319,0.6737099506240156,0.4584200111624132,1.5405636003856111,0.8595284819602966,0.07554146647453308,0.5079895197292222,34.63074801901743,2015
5,153.1545258,-27.6665936,0.186771,3466,918,1165,1123,0.581204354763031,0.7351132830722236,0.6037056342700089,2.0662069847888924,0.7879828214645386,0.1185789704322815,0.5811831684975001,46.35829572731637,2015
6,153.1546326,-27.6665936,0.189533,2907,1111,1119,1146,0.4469885528087616,0.6177784437154514,0.4089998178174531,1.3617613408635454,0.9928507804870605,0.003587443847209215,0.4469707527823681,15.023564125560537,2015
7,153.1565552,-27.666235,0.1945376,2613,828,951,1043,0.5187445282936096,0.6830814234226636,0.4572936414407952,1.536488394732797,0.8706624507904053,0.06913996487855911,0.5187204314824071,32.886364249578406,2015
8,153.1564484,-27.6663246,0.1961566,2657,925,989,1066,0.4835287630558014,0.6518202953334367,0.4240109674892284,1.4160716803760285,0.9352881908416748,0.0334378257393837,0.4835071576925654,23.157673981191223,2015
9,153.1568604,-27.6661453,0.1974579,2329,794,905,1016,0.49151456356048584,0.6590329092887259,0.40509870157289135,1.347647102290721,0.8773480653762817,0.06533254683017731,0.4914893889522151,31.84885815185403,2015
10,153.1544342,-27.6665936,0.1985906,3466,918,1165,1123,0.581204354763031,0.7351132830722236,0.6037056342700089,2.0662069847888924,0.7879828214645386,0.1185789704322815,0.5811831684975001,46.35829572731637,2015
