OBJECTID,grid_code,X,Y
1,0.3623745,153.1552582,-27.6631794
2,0.3623745,153.1552734,-27.6631794
3,0.3623745,153.1552734,-27.6631794
4,0.3623745,153.1552887,-27.6631794
5,0.3623745,153.1552429,-27.6631889
6,0.3623745,153.1552582,-27.6631889
7,0.3623745,153.1552734,-27.6631889
8,0.3623745,153.1552734,-27.6631889
9,0.3623745,153.1552887,-27.6631889
10,0.3623745,153.1552887,-27.6631889
11,0.3623745,153.155304,-27.6631889
12,0.3623745,153.1553192,-27.6631889
13,0.3623745,153.1553192,-27.6631889
14,0.3623745,153.1553345,-27.6631889
15,0.3579164,153.1553345,-27.6631889
16,0.3579164,153.1553497,-27.6631889
17,0.3579164,153.155365,-27.6631889
18,0.3579164,153.155365,-27.6631889
19,0.3579164,153.1553802,-27.6631889
20,0.3579164,153.1553802,-27.6631889
21,0.3579164,153.1553955,-27.6631889
22,0.3579164,153.1553955,-27.6631889
23,0.3579164,153.1554108,-27.6631889
24,0.3579164,153.155426,-27.6631889
25,0.3579164,153.155426,-27.6631889
26,0.3652357,153.1554413,-27.6631889
27,0.3623745,153.1552277,-27.6631985
28,0.3623745,153.1552429,-27.6631985
29,0.3623745,153.1552429,-27.6631985
30,0.3623745,153.1552582,-27.6631985
31,0.3623745,153.1552734,-27.6631985
32,0.3623745,153.1552734,-27.6631985
33,0.3623745,153.1552887,-27.6631985
34,0.3623745,153.1552887,-27.6631985
35,0.3623745,153.155304,-27.6631985
36,0.3623745,153.1553192,-27.6631985
37,0.3623745,153.1553192,-27.6631985
38,0.3623745,153.1553345,-27.6631985
39,0.3579164,153.1553345,-27.6631985
40,0.3579164,153.1553497,-27.6631985
41,0.3579164,153.155365,-27.6631985
42,0.3579164,153.155365,-27.6631985
43,0.3579164,153.1553802,-27.6631985
44,0.3579164,153.1553802,-27.6631985
45,0.3579164,153.1553955,-27.6631985
46,0.3579164,153.1553955,-27.6631985
47,0.3579164,153.1554108,-27.6631985
48,0.3579164,153.155426,-27.6631985
49,0.3579164,153.155426,-27.6631985
50,0.3652357,153.1554413,-27.6631985
51,0.3652357,153.1554413,-27.6631985
52,0.3652357,153.1554565,-27.6631985
53,0.3652357,153.1554718,-27.6631985
54,0.3652357,153.1554718,-27.6631985
55,0.3652357,153.1554871,-27.6631985
56,0.3652357,153.1554871,-27.6631985
57,0.3652357,153.1555023,-27.6631985
58,0.3652357,153.1555176,-27.6631985
59,0.3652357,153.1555176,-27.6631985
60,0.3652357,153.1555328,-27.6631985
61,0.337967,153.1555328,-27.6631985
62,0.337967,153.1555481,-27.6631985
63,0.341639,153.1552124,-27.663208
64,0.341639,153.1552277,-27.663208
65,0.3623745,153.1552277,-27.663208
66,0.3623745,153.1552429,-27.663208
67,0.3623745,153.1552429,-27.663208
68,0.3623745,153.1552582,-27.663208
69,0.3623745,153.1552734,-27.663208
70,0.3623745,153.1552734,-27.663208
71,0.3623745,153.1552887,-27.663208
72,0.3623745,153.1552887,-27.663208
73,0.3623745,153.155304,-27.663208
74,0.3623745,153.1553192,-27.663208
75,0.3623745,153.1553192,-27.663208
76,0.3623745,153.1553345,-27.663208
77,0.3579164,153.1553345,-27.663208
78,0.3579164,153.1553497,-27.663208
79,0.3579164,153.155365,-27.663208
80,0.3579164,153.155365,-27.663208
81,0.3579164,153.1553802,-27.663208
82,0.3579164,153.1553802,-27.663208
83,0.3579164,153.1553955,-27.663208
84,0.3579164,153.1553955,-27.663208
85,0.3579164,153.1554108,-27.663208
86,0.3579164,153.155426,-27.663208
87,0.3579164,153.155426,-27.663208
88,0.3652357,153.1554413,-27.663208
89,0.3652357,153.1554413,-27.663208
90,0.3652357,153.1554565,-27.663208
91,0.3652357,153.1554718,-27.663208
92,0.3652357,153.1554718,-27.663208
93,0.3652357,153.1554871,-27.663208
94,0.3652357,153.1554871,-27.663208
95,0.3652357,153.1555023,-27.663208
96,0.3652357,153.1555176,-27.663208
97,0.3652357,153.1555176,-27.663208
98,0.3652357,153.1555328,-27.663208
99,0.337967,153.1555328,-27.663208
100,0.337967,153.1555481,-27.663208
101,0.337967,153.1555481,-27.663208
102,0.337967,153.1555634,-27.663208
103,0.341639,153.1552124,-27.6632156
104,0.341639,153.1552124,-27.6632156
105,0.341639,153.1552277,-27.6632156
106,0.3623745,153.1552277,-27.6632156
107,0.3623745,153.1552429,-27.6632156
108,0.3623745,153.1552429,-27.6632156
109,0.3623745,153.1552582,-27.6632156
110,0.3623745,153.1552734,-27.6632156
111,0.3623745,153.1552734,-27.6632156
112,0.3623745,153.1552887,-27.6632156
113,0.3623745,153.1552887,-27.6632156
114,0.3623745,153.155304,-27.6632156
115,0.3623745,153.1553192,-27.6632156
116,0.3623745,153.1553192,-27.6632156
117,0.3623745,153.1553345,-27.6632156
118,0.3579164,153.1553345,-27.6632156
119,0.3579164,153.1553497,-27.6632156
120,0.3579164,153.155365,-27.6632156
121,0.3579164,153.155365,-27.6632156
122,0.3579164,153.1553802,-27.6632156
123,0.3579164,153.1553802,-27.6632156
124,0.3579164,153.1553955,-27.6632156
125,0.3579164,153.1553955,-27.6632156
126,0.3579164,153.1554108,-27.6632156
127,0.3579164,153.155426,-27.6632156
128,0.3579164,153.155426,-27.6632156
129,0.3652357,153.1554413,-27.6632156
130,0.3652357,153.1554413,-27.6632156
131,0.3652357,153.1554565,-27.6632156
132,0.3652357,153.1554718,-27.6632156
133,0.3652357,153.1554718,-27.6632156
134,0.3652357,153.1554871,-27.6632156
135,0.3652357,153.1554871,-27.6632156
136,0.3652357,153.1555023,-27.6632156
137,0.3652357,153.1555176,-27.6632156
138,0.3652357,153.1555176,-27.6632156
139,0.3652357,153.1555328,-27.6632156
140,0.337967,153.1555328,-27.6632156
141,0.337967,153.1555481,-27.6632156
142,0.337967,153.1555481,-27.6632156
143,0.337967,153.1555634,-27.6632156
144,0.337967,153.1555786,-27.6632156
145,0.337967,153.1555786,-27.6632156
146,0.341639,153.1551819,-27.6632252
147,0.341639,153.1551971,-27.6632252
148,0.341639,153.1552124,-27.6632252
149,0.341639,153.1552124,-27.6632252
150,0.341639,153.1552277,-27.6632252
151,0.3623745,153.1552277,-27.6632252
152,0.3623745,153.1552429,-27.6632252
153,0.3623745,153.1552429,-27.6632252
154,0.3623745,153.1552582,-27.6632252
155,0.3623745,153.1552734,-27.6632252
156,0.3623745,153.1552734,-27.6632252
157,0.3623745,153.1552887,-27.6632252
158,0.3623745,153.1552887,-27.6632252
159,0.3623745,153.155304,-27.6632252
160,0.3623745,153.1553192,-27.6632252
161,0.3623745,153.1553192,-27.6632252
162,0.3623745,153.1553345,-27.6632252
163,0.3579164,153.1553345,-27.6632252
164,0.3579164,153.1553497,-27.6632252
165,0.3579164,153.155365,-27.6632252
166,0.3579164,153.155365,-27.6632252
167,0.3579164,153.1553802,-27.6632252
168,0.3579164,153.1553802,-27.6632252
169,0.3579164,153.1553955,-27.6632252
170,0.3579164,153.1553955,-27.6632252
171,0.3579164,153.1554108,-27.6632252
172,0.3579164,153.155426,-27.6632252
173,0.3579164,153.155426,-27.6632252
174,0.3652357,153.1554413,-27.6632252
175,0.3652357,153.1554413,-27.6632252
176,0.3652357,153.1554565,-27.6632252
177,0.3652357,153.1554718,-27.6632252
178,0.3652357,153.1554718,-27.6632252
179,0.3652357,153.1554871,-27.6632252
180,0.3652357,153.1554871,-27.6632252
181,0.3652357,153.1555023,-27.6632252
182,0.3652357,153.1555176,-27.6632252
183,0.3652357,153.1555176,-27.6632252
184,0.3652357,153.1555328,-27.6632252
185,0.337967,153.1555328,-27.6632252
186,0.337967,153.1555481,-27.6632252
187,0.337967,153.1555481,-27.6632252
188,0.337967,153.1555634,-27.6632252
189,0.337967,153.1555786,-27.6632252
190,0.337967,153.1555786,-27.6632252
191,0.337967,153.1555939,-27.6632252
192,0.337967,153.1555939,-27.6632252
193,0.337967,153.1556091,-27.6632252
194,0.341639,153.1551666,-27.6632347
195,0.341639,153.1551819,-27.6632347
196,0.341639,153.1551819,-27.6632347
197,0.341639,153.1551971,-27.6632347
198,0.341639,153.1552124,-27.6632347
199,0.341639,153.1552124,-27.6632347
200,0.341639,153.1552277,-27.6632347
201,0.3623745,153.1552277,-27.6632347
202,0.3623745,153.1552429,-27.6632347
203,0.3623745,153.1552429,-27.6632347
204,0.3623745,153.1552582,-27.6632347
205,0.3623745,153.1552734,-27.6632347
206,0.3623745,153.1552734,-27.6632347
207,0.3623745,153.1552887,-27.6632347
208,0.3623745,153.1552887,-27.6632347
209,0.3623745,153.155304,-27.6632347
210,0.3623745,153.1553192,-27.6632347
211,0.3623745,153.1553192,-27.6632347
212,0.3623745,153.1553345,-27.6632347
213,0.3579164,153.1553345,-27.6632347
214,0.3579164,153.1553497,-27.6632347
215,0.3579164,153.155365,-27.6632347
216,0.3579164,153.155365,-27.6632347
217,0.3579164,153.1553802,-27.6632347
